
ticker, price, trailingPE, forwardPE, oneYearChange, oneYearLow, oneYearHigh 
GOOGL,119.480,26.610,19.056,3.288,83.340,129.040
GOOG,120.140,26.698,19.284,3.105,83.450,129.550
AMZN,129.780,309.000,50.498,16.134,81.430,146.570
AAPL,190.680,31.940,28.979,31.621,124.170,194.480
COST,525.050,38.465,33.852,5.242,447.900,564.750
IBM,132.080,59.765,13.234,-6.326,115.550,153.210
MSFT,337.220,35.951,30.796,27.489,213.430,351.470
MRNA,118.870,10.337,-30.094,-32.175,115.030,217.250
PFE,35.530,7.106,10.181,-32.823,35.350,54.930
KO,59.760,26.442,21.267,-5.052,54.020,65.470
NKE,104.460,34.137,25.921,-0.618,82.220,131.310
AMD,113.170,595.632,26.881,47.070,54.570,132.830
TSLA,274.430,75.186,57.054,17.106,101.810,314.667
